wavelength;fosc;id;method;name
309.8;0.002344797;4;M062X;"1-aminopurpurin"
286.0;0.009662774;5;M062X;"1-aminopurpurin"
440.4;0.320254490;1;M062X_solv;"1-aminopurpurin"
347.7;0.000031078;2;M062X_solv;"1-aminopurpurin"
318.9;0.007190196;3;M062X_solv;"1-aminopurpurin"
315.0;0.000017595;4;M062X_solv;"1-aminopurpurin"
292.4;0.013966867;5;M062X_solv;"1-aminopurpurin"
478.1;0.241470402;1;wPBEPP86;"1-aminopurpurin"
367.7;0.000016584;2;wPBEPP86;"1-aminopurpurin"
324.2;0.002675944;3;wPBEPP86;"1-aminopurpurin"
339.8;0.000013550;4;wPBEPP86;"1-aminopurpurin"
296.6;0.043400592;5;wPBEPP86;"1-aminopurpurin"
501.2;0.310848862;1;wPBEPP86_solv;"1-aminopurpurin"
336.0;0.004909755;2;wPBEPP86_solv;"1-aminopurpurin"
359.5;0.000021723;3;wPBEPP86_solv;"1-aminopurpurin"
330.3;0.000016229;4;wPBEPP86_solv;"1-aminopurpurin"
300.5;0.059322678;5;wPBEPP86_solv;"1-aminopurpurin"
371.8;0.397815740;1;wB97XD4_TDA;"1-aminopurpurin"
331.4;0.000039041;2;wB97XD4_TDA;"1-aminopurpurin"
305.0;0.000027076;3;wB97XD4_TDA;"1-aminopurpurin"
290.4;0.004156215;4;wB97XD4_TDA;"1-aminopurpurin"
254.9;0.026170252;5;wB97XD4_TDA;"1-aminopurpurin"
388.8;0.488140615;1;wB97XD4_TDA_solv;"1-aminopurpurin"
324.6;0.000043073;2;wB97XD4_TDA_solv;"1-aminopurpurin"
298.9;0.009296290;3;wB97XD4_TDA_solv;"1-aminopurpurin"
297.7;0.000034281;4;wB97XD4_TDA_solv;"1-aminopurpurin"
258.7;0.024974161;5;wB97XD4_TDA_solv;"1-aminopurpurin"
422.4;0.089317495;1;PBE0_solv;"1-desmethylaurantio-obtusin"
404.0;0.243190148;2;PBE0_solv;"1-desmethylaurantio-obtusin"
382.4;0.000435980;3;PBE0_solv;"1-desmethylaurantio-obtusin"
371.2;0.045729003;4;PBE0_solv;"1-desmethylaurantio-obtusin"
318.8;0.000544965;5;PBE0_solv;"1-desmethylaurantio-obtusin"
348.0;0.376188745;1;wB97XD4_solv;"1-desmethylaurantio-obtusin"
341.6;0.064153321;2;wB97XD4_solv;"1-desmethylaurantio-obtusin"
337.4;0.001920583;3;wB97XD4_solv;"1-desmethylaurantio-obtusin"
306.5;0.036975745;4;wB97XD4_solv;"1-desmethylaurantio-obtusin"
286.6;0.000010670;5;wB97XD4_solv;"1-desmethylaurantio-obtusin"
410.4;0.059725706;1;PBE0;"1-desmethylaurantio-obtusin"
403.5;0.000268288;2;PBE0;"1-desmethylaurantio-obtusin"
388.7;0.197767977;3;PBE0;"1-desmethylaurantio-obtusin"
365.1;0.027281128;4;PBE0;"1-desmethylaurantio-obtusin"
316.3;0.000019946;5;PBE0;"1-desmethylaurantio-obtusin"
351.9;0.000972711;1;wB97XD4;"1-desmethylaurantio-obtusin"
338.1;0.317540963;2;wB97XD4;"1-desmethylaurantio-obtusin"
334.3;0.030304654;3;wB97XD4;"1-desmethylaurantio-obtusin"
302.5;0.024964743;4;wB97XD4;"1-desmethylaurantio-obtusin"
284.6;0.000029703;5;wB97XD4;"1-desmethylaurantio-obtusin"
402.8;0.027171213;1;B2PLYP;"1-desmethylaurantio-obtusin"
393.1;0.230061709;2;B2PLYP;"1-desmethylaurantio-obtusin"
397.7;0.033075297;3;B2PLYP;"1-desmethylaurantio-obtusin"
363.3;0.023313200;4;B2PLYP;"1-desmethylaurantio-obtusin"
321.9;0.000009405;5;B2PLYP;"1-desmethylaurantio-obtusin"
411.8;0.027494823;1;B2PLYP_solv;"1-desmethylaurantio-obtusin"
406.8;0.341181823;2;B2PLYP_solv;"1-desmethylaurantio-obtusin"
379.6;0.000149231;3;B2PLYP_solv;"1-desmethylaurantio-obtusin"
369.2;0.034826583;4;B2PLYP_solv;"1-desmethylaurantio-obtusin"
324.4;0.000004503;5;B2PLYP_solv;"1-desmethylaurantio-obtusin"
375.6;0.008199364;1;PBEQIHD;"1-desmethylaurantio-obtusin"
378.3;0.034862964;2;PBEQIHD;"1-desmethylaurantio-obtusin"
381.1;0.270321008;3;PBEQIHD;"1-desmethylaurantio-obtusin"
345.4;0.023797285;4;PBEQIHD;"1-desmethylaurantio-obtusin"
306.9;0.000017731;5;PBEQIHD;"1-desmethylaurantio-obtusin"
384.0;0.005626834;1;PBEQIHD_solv;"1-desmethylaurantio-obtusin"
395.9;0.386898773;2;PBEQIHD_solv;"1-desmethylaurantio-obtusin"
360.6;0.000226939;3;PBEQIHD_solv;"1-desmethylaurantio-obtusin"
351.1;0.034160660;4;PBEQIHD_solv;"1-desmethylaurantio-obtusin"
309.2;0.000042887;5;PBEQIHD_solv;"1-desmethylaurantio-obtusin"
366.5;0.058562710;1;BMK;"1-desmethylaurantio-obtusin"
362.8;0.001518289;2;BMK;"1-desmethylaurantio-obtusin"
355.0;0.246198020;3;BMK;"1-desmethylaurantio-obtusin"
328.2;0.027020522;4;BMK;"1-desmethylaurantio-obtusin"
291.9;0.000010776;5;BMK;"1-desmethylaurantio-obtusin"
375.4;0.088667231;1;BMK_solv;"1-desmethylaurantio-obtusin"
366.7;0.302419914;2;BMK_solv;"1-desmethylaurantio-obtusin"
345.8;0.000391991;3;BMK_solv;"1-desmethylaurantio-obtusin"
332.8;0.042671628;4;BMK_solv;"1-desmethylaurantio-obtusin"
293.9;0.000011294;5;BMK_solv;"1-desmethylaurantio-obtusin"
380.6;0.071610881;1;CAMB3LYP;"1-desmethylaurantio-obtusin"
379.2;0.000897184;2;CAMB3LYP;"1-desmethylaurantio-obtusin"
370.8;0.219581776;3;CAMB3LYP;"1-desmethylaurantio-obtusin"
339.7;0.027206424;4;CAMB3LYP;"1-desmethylaurantio-obtusin"
301.7;0.000010195;5;CAMB3LYP;"1-desmethylaurantio-obtusin"
389.8;0.113983219;1;CAMB3LYP_solv;"1-desmethylaurantio-obtusin"
383.7;0.259488825;2;CAMB3LYP_solv;"1-desmethylaurantio-obtusin"
360.8;0.000367589;3;CAMB3LYP_solv;"1-desmethylaurantio-obtusin"
344.4;0.042159565;4;CAMB3LYP_solv;"1-desmethylaurantio-obtusin"
304.1;0.000022409;5;CAMB3LYP_solv;"1-desmethylaurantio-obtusin"
375.1;0.000390771;1;M062X;"1-desmethylaurantio-obtusin"
356.4;0.038370862;2;M062X;"1-desmethylaurantio-obtusin"
350.3;0.282641105;3;M062X;"1-desmethylaurantio-obtusin"
319.8;0.026366404;4;M062X;"1-desmethylaurantio-obtusin"
300.0;0.000028775;5;M062X;"1-desmethylaurantio-obtusin"
364.8;0.042816977;1;M062X_solv;"1-desmethylaurantio-obtusin"
361.2;0.336924225;2;M062X_solv;"1-desmethylaurantio-obtusin"
358.2;0.030110336;3;M062X_solv;"1-desmethylaurantio-obtusin"
324.1;0.041296854;4;M062X_solv;"1-desmethylaurantio-obtusin"
301.9;0.000007931;5;M062X_solv;"1-desmethylaurantio-obtusin"
378.1;0.022938619;1;wPBEPP86;"1-desmethylaurantio-obtusin"
383.2;0.002899485;2;wPBEPP86;"1-desmethylaurantio-obtusin"
393.1;0.282695844;3;wPBEPP86;"1-desmethylaurantio-obtusin"
347.8;0.023001546;4;wPBEPP86;"1-desmethylaurantio-obtusin"
314.1;0.000020403;5;wPBEPP86;"1-desmethylaurantio-obtusin"
388.4;0.051006740;1;wPBEPP86_solv;"1-desmethylaurantio-obtusin"
405.0;0.338951987;2;wPBEPP86_solv;"1-desmethylaurantio-obtusin"
367.6;0.000302953;3;wPBEPP86_solv;"1-desmethylaurantio-obtusin"
353.5;0.032086886;4;wPBEPP86_solv;"1-desmethylaurantio-obtusin"
316.2;0.000066937;5;wPBEPP86_solv;"1-desmethylaurantio-obtusin"
348.5;0.000390977;1;wB97XD4_TDA;"1-desmethylaurantio-obtusin"
326.9;0.295806114;2;wB97XD4_TDA;"1-desmethylaurantio-obtusin"
320.5;0.123697642;3;wB97XD4_TDA;"1-desmethylaurantio-obtusin"
291.4;0.032341196;4;wB97XD4_TDA;"1-desmethylaurantio-obtusin"
282.8;0.000098224;5;wB97XD4_TDA;"1-desmethylaurantio-obtusin"
337.1;0.338348333;1;wB97XD4_TDA_solv;"1-desmethylaurantio-obtusin"
334.4;0.016191631;2;wB97XD4_TDA_solv;"1-desmethylaurantio-obtusin"
328.0;0.163333419;3;wB97XD4_TDA_solv;"1-desmethylaurantio-obtusin"
295.1;0.042101313;4;wB97XD4_TDA_solv;"1-desmethylaurantio-obtusin"
284.8;0.000039882;5;wB97XD4_TDA_solv;"1-desmethylaurantio-obtusin"
421.7;0.077703596;1;PBE0_solv;"1-desmethylchryso-obtusin"
397.9;0.111987494;2;PBE0_solv;"1-desmethylchryso-obtusin"
394.8;0.059215426;3;PBE0_solv;"1-desmethylchryso-obtusin"
350.8;0.020123333;4;PBE0_solv;"1-desmethylchryso-obtusin"
338.7;0.056985247;5;PBE0_solv;"1-desmethylchryso-obtusin"
342.0;0.089233734;1;wB97XD4_solv;"1-desmethylchryso-obtusin"
340.0;0.108499073;2;wB97XD4_solv;"1-desmethylchryso-obtusin"
332.7;0.133864033;3;wB97XD4_solv;"1-desmethylchryso-obtusin"
312.3;0.000972669;4;wB97XD4_solv;"1-desmethylchryso-obtusin"
289.7;0.057916348;5;wB97XD4_solv;"1-desmethylchryso-obtusin"
410.4;0.071702671;1;PBE0;"1-desmethylchryso-obtusin"
404.9;0.002811299;2;PBE0;"1-desmethylchryso-obtusin"
380.4;0.093868723;3;PBE0;"1-desmethylchryso-obtusin"
357.7;0.004699863;4;PBE0;"1-desmethylchryso-obtusin"
333.4;0.060669089;5;PBE0;"1-desmethylchryso-obtusin"
349.3;0.001975576;1;wB97XD4;"1-desmethylchryso-obtusin"
333.5;0.155173253;2;wB97XD4;"1-desmethylchryso-obtusin"
322.3;0.079111531;3;wB97XD4;"1-desmethylchryso-obtusin"
317.5;0.001839412;4;wB97XD4;"1-desmethylchryso-obtusin"
285.4;0.046923077;5;wB97XD4;"1-desmethylchryso-obtusin"
405.4;0.075042758;1;B2PLYP;"1-desmethylchryso-obtusin"
400.2;0.002044273;2;B2PLYP;"1-desmethylchryso-obtusin"
374.4;0.113380821;3;B2PLYP;"1-desmethylchryso-obtusin"
361.8;0.002793295;4;B2PLYP;"1-desmethylchryso-obtusin"
334.1;0.055681295;5;B2PLYP;"1-desmethylchryso-obtusin"
413.3;0.072624624;1;B2PLYP_solv;"1-desmethylchryso-obtusin"
391.9;0.197618186;2;B2PLYP_solv;"1-desmethylchryso-obtusin"
391.0;0.000937375;3;B2PLYP_solv;"1-desmethylchryso-obtusin"
352.7;0.024387043;4;B2PLYP_solv;"1-desmethylchryso-obtusin"
340.9;0.044430332;5;B2PLYP_solv;"1-desmethylchryso-obtusin"
378.7;0.074780322;1;PBEQIHD;"1-desmethylchryso-obtusin"
375.7;0.000837868;2;PBEQIHD;"1-desmethylchryso-obtusin"
357.4;0.132339764;3;PBEQIHD;"1-desmethylchryso-obtusin"
344.1;0.001397300;4;PBEQIHD;"1-desmethylchryso-obtusin"
324.4;0.055781642;5;PBEQIHD;"1-desmethylchryso-obtusin"
385.8;0.069960295;1;PBEQIHD_solv;"1-desmethylchryso-obtusin"
374.0;0.220207710;2;PBEQIHD_solv;"1-desmethylchryso-obtusin"
367.1;0.001095360;3;PBEQIHD_solv;"1-desmethylchryso-obtusin"
338.2;0.011054125;4;PBEQIHD_solv;"1-desmethylchryso-obtusin"
329.0;0.059318935;5;PBEQIHD_solv;"1-desmethylchryso-obtusin"
365.4;0.090302587;1;BMK;"1-desmethylchryso-obtusin"
361.0;0.001024248;2;BMK;"1-desmethylchryso-obtusin"
344.0;0.108540023;3;BMK;"1-desmethylchryso-obtusin"
326.1;0.002306134;4;BMK;"1-desmethylchryso-obtusin"
303.8;0.064137116;5;BMK;"1-desmethylchryso-obtusin"
373.8;0.098741270;1;BMK_solv;"1-desmethylchryso-obtusin"
356.6;0.178268091;2;BMK_solv;"1-desmethylchryso-obtusin"
351.7;0.011550354;3;BMK_solv;"1-desmethylchryso-obtusin"
319.9;0.009089784;4;BMK_solv;"1-desmethylchryso-obtusin"
308.9;0.069846730;5;BMK_solv;"1-desmethylchryso-obtusin"
380.3;0.072385110;1;CAMB3LYP;"1-desmethylchryso-obtusin"
377.8;0.020594870;2;CAMB3LYP;"1-desmethylchryso-obtusin"
358.8;0.103678563;3;CAMB3LYP;"1-desmethylchryso-obtusin"
339.6;0.002258279;4;CAMB3LYP;"1-desmethylchryso-obtusin"
314.7;0.056920450;5;CAMB3LYP;"1-desmethylchryso-obtusin"
388.6;0.099189779;1;CAMB3LYP_solv;"1-desmethylchryso-obtusin"
373.0;0.155253152;2;CAMB3LYP_solv;"1-desmethylchryso-obtusin"
368.4;0.027878025;3;CAMB3LYP_solv;"1-desmethylchryso-obtusin"
333.0;0.007849219;4;CAMB3LYP_solv;"1-desmethylchryso-obtusin"
319.7;0.061355776;5;CAMB3LYP_solv;"1-desmethylchryso-obtusin"
374.2;0.001284931;1;M062X;"1-desmethylchryso-obtusin"
354.3;0.097957418;2;M062X;"1-desmethylchryso-obtusin"
337.0;0.109110340;3;M062X;"1-desmethylchryso-obtusin"
335.4;0.004658497;4;M062X;"1-desmethylchryso-obtusin"
297.7;0.060789048;5;M062X;"1-desmethylchryso-obtusin"
365.4;0.021815317;1;M062X_solv;"1-desmethylchryso-obtusin"
362.5;0.085922309;2;M062X_solv;"1-desmethylchryso-obtusin"
348.4;0.195703768;3;M062X_solv;"1-desmethylchryso-obtusin"
329.1;0.001126345;4;M062X_solv;"1-desmethylchryso-obtusin"
302.8;0.074374456;5;M062X_solv;"1-desmethylchryso-obtusin"
381.6;0.074981856;1;wPBEPP86;"1-desmethylchryso-obtusin"
382.1;0.000264710;2;wPBEPP86;"1-desmethylchryso-obtusin"
363.9;0.132289423;3;wPBEPP86;"1-desmethylchryso-obtusin"
351.6;0.000860651;4;wPBEPP86;"1-desmethylchryso-obtusin"
329.4;0.050312247;5;wPBEPP86;"1-desmethylchryso-obtusin"
388.3;0.068352469;1;wPBEPP86_solv;"1-desmethylchryso-obtusin"
381.5;0.217881235;2;wPBEPP86_solv;"1-desmethylchryso-obtusin"
374.3;0.001690221;3;wPBEPP86_solv;"1-desmethylchryso-obtusin"
345.2;0.005541930;4;wPBEPP86_solv;"1-desmethylchryso-obtusin"
334.3;0.058616810;5;wPBEPP86_solv;"1-desmethylchryso-obtusin"
345.9;0.001356849;1;wB97XD4_TDA;"1-desmethylchryso-obtusin"
319.2;0.151386701;2;wB97XD4_TDA;"1-desmethylchryso-obtusin"
315.3;0.007291406;3;wB97XD4_TDA;"1-desmethylchryso-obtusin"
313.0;0.134698763;4;wB97XD4_TDA;"1-desmethylchryso-obtusin"
277.5;0.037472903;5;wB97XD4_TDA;"1-desmethylchryso-obtusin"
338.3;0.007622967;1;wB97XD4_TDA_solv;"1-desmethylchryso-obtusin"
326.7;0.101931364;2;wB97XD4_TDA_solv;"1-desmethylchryso-obtusin"
323.1;0.286572224;3;wB97XD4_TDA_solv;"1-desmethylchryso-obtusin"
309.9;0.001522605;4;wB97XD4_TDA_solv;"1-desmethylchryso-obtusin"
281.5;0.044986148;5;wB97XD4_TDA_solv;"1-desmethylchryso-obtusin"
